#TEXT ID,ENGLISH,FRENCH,ITALIAN,GERMAN,SPANISH
#Note: The # character at the beginning of a row is used to indicate a row header or comment. These rows will not be imported in the game.
TUTORIAL_EXCELLENT,Excellent!,Excellent !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_OOPS,Oops!,Oups !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_TRY_AGAIN,Try Again,Réessaie,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_CHANGE_LANES_FAIL,Swipe and release each time instead of holding down your finger.,Balaye et relâche chaque fois au lieu de garder ton doigt sur l'écran.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_JUMP_FAIL,Swipe up to jump over obstacles.,Balaye du doigt vers le haut pour sauter par dessus les obstacles.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_TURN_CORNERS_FAIL,Timing is everything. Swipe sideways to turn corners.,Balaye du doigt au bon moment pour prendre un virage à 90 degrés.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_SLIDE_FAIL,Swipe down to slide under obstacles.,Balaye du doigt vers le bas pour glisser sous les obstacles.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TUTORIAL_SLIDE_BREAKABLE_FAIL,Slide into breakable objects to avoid stumbling!,Glisse pour briser des objets et ainsi éviter de trébucher!,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
FAIRY_TROLL_WARNING,Watch out! Behind you!,Attention ! Derrière toi !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
FAIRY_GREAT_CARDIO,You know<comma> you have great cardio!,Tu as vraiment un super cardio !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
FAIRY_CREEPS,This place gives me the creeps.,Cet endroit me flanque la trouille.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
FAIRY_DRAGON_BRIDGE,By the White Tree! The dragon burned down the King's bridge. Luckily<comma> I can cast spells.,Par l'Arbre Blanc ! Le dragon a brûlé le pont royal! Heureusement<comma> je sais jeter des sortilèges.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
FAIRY_TROLL_QUICKLY,Hurry! I can hear the troll.,Dépêche-toi! J'entends le troll.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
FAIRY_WOODEN_ELVES,Wood elves used to live here<comma> but they left after the Great Battle.,Les elfes des bois habitaient cette forêt avant<comma> mais hélas<comma> ils ont quitté après la Grande Bataille.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
FAIRY_GOBLIN_WARNING,Goblins have been spotted looting the place. Be careful!,Des gobelins ont été vu en train de piller l'endroit. Fais attention !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
FAIRY_WOW_SURVIVED,I'm impressed! You manage to survive all those brain-eating zombies!,Wow! Je suis impressionnée. Tu as réussi à survivre à tous ces zombies.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
VO_FA_OH_NO,Oh no! It's the Dark Queen ...,Oh non ! C'est la Sorcière des Ténèbres,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
VO_DQ_NOT_KEEP_WAITING,You should never keep your Queen waiting,Tu ne devrais jamais faire attendre ta Reine,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
VO_DQ_RISE_FROM_THE_DEEP,Rise Sister<comma> rise from the deep ...,Soeur<comma> réveille-toi et sort des profondeurs ...,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
VO_DQ_STARTING_TO_ANNOY,You're starting to annoy me<comma> Hero.,Tu commences à m'irriter<comma> Héros.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
VO_FA_NOBODY_LIKES_YOU,Nobody likes you<comma> you know,Personne ne te trouves sympa<comma> tu sais.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
VO_DQ_BRING_BACK_BOOK,Zombies<comma> get my grimoire back from this thief!,Zombies<comma> ramenez-moi mon grimoire pris par ce voleur !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
VO_FA_NOT_HER_AGAIN,Not her again!,Pas encore toi !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POPUP_TITLE_DEBUG,Debug Menu,Menu Debug,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
LEVEL_SECTION_NAME_DOOM,the Montain of Doom!,la Montagne du Condamné !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
LEVEL_DESCRIPTION_TOWER,The maleficent Dark Queen lives in the wizard tower. This is where she broods and plots nefarious ways to conquer the Kingdom of Lum.,La maléfique Sorcière des Ténèbres habite dans la tour de sorcellerie. C'est là qu'elle manigance ses plans machiavéliques afin de conquérir le Royaume de Lum.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
LEVEL_DESCRIPTION_TANGLEWOOD,Tanglewood is a peaceful area located near the Oakvale harbor.,Tanglewood est un endroit paisible situé prêt du havre d'Oakvale.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
LEVEL_DESCRIPTION_ELFLAND,The wood elves used to live in Ellenmïrre. They abandoned the city after the Great Battle.,Les elfes des bois habitaient jadis à Ellenmïrre. Ils ont abandonné l'endroit après la Grande Bataille.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
LEVEL_DESCRIPTION_DREADKNOT,Dreadknot is a vast and ancient cemetery that was built after the Great Battle. It has long since been abandoned and now wicked creatures prowl the land in search of easy prey.,Dreadknot est un vaste et ancien cimetière qui a été construit après la Grande Bataille. Il a été abandonné depuis fort longtemps et maintenant des créatures maléfiques le parcours à la recherche de proies faciles.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
LEVEL_GAME_COMPLETED,Congratulations hero! You have saved the World of Lum.,Bravo héros ! Tu as sauvé le monde de Lum.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TREASURE_CHEST_POWER_UP,Super! You have just received <quantity> <powerup name> power-ups!,Génial ! Tu viens de recevoir <quantity> <powerup name> power-ups!,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TREASURE_CHEST_STARS,You have just received <quantity> stars!,Tu viens de recevoir <quantity> étoiles !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TREASURE_CHEST_KEY,Awesome. You received <quantity> mystery chest keys,Super! Tu as reçu <quantity> clés pour les coffres mystères,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TREASURE_CHEST_LIFE,Cool. You have just received <quantity> lives!,Génial! Tu as reçu <quantity> vies !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TREASURE_CHEST_CUSTOMIZATION,Cool. You have received a special gift!,Génial! Tu as reçu un cadeau spécial !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TREASURE_CHEST_NEED_MORE_KEYS,You need a key to open the chest. You can get some in the shop,Tu as besoin d'une clé pour ouvrir le coffre. Tu peux t'en procurer dans le magasin.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
HELL_BANNER_BINGO,Bingo night is in old torture room!,Soirée Bingo dans l'ancienne salle de torture !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
HELL_BANNER_BRUNCH,Welcome brunch is in room 666,Brunch de bienvenue dans la salle 666,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
HELL_BANNER_ARMS_DEALER,Special welcome to arms dealers,Un bienvenue spécial aux vendeurs d'armes,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
HELL_BANNER_BILLIONS_SERVED,Over 66 billion souls served,Plus de 66 milliards d'âmes servis,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
HELL_SOUL_LAKE,Lake of Souls,Lac des âmes,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
HELL_NO_SWIMMING,No Swimming,Nage Interdite,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
CULLIS_GATE_TOWER,You're heading to Tanglewood forest.,Tu te diriges vers la forêt de Tanglewood.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
CULLIS_GATE_FOREST,You're heading to the tree-city of Ellenmïrre.,Tu te diriges vers la ville dans les arbres de Ellenmïrre.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
CULLIS_GATE_ELFLAND,You're heading to the Cemetery of Dreadknot. Foul creatures live there...,Tu te diriges vers le cimetière de Dreadknot. Des créatures sinistres y habitent...,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
CULLIS_GATE_CEMETERY,You are almost there! You need to throw the Book of Pure Evil into the Volcano of Doom.,Tu y es presque! Tu dois jeter le Livre Maudit dans le Volcan du Désespoir.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
CULLIS_GATE_DEMO_END,Congratulations! You have finished the demo.,Bravo ! Tu as finis la démo.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
CHECKPOINT_REACHED,Checkpoint reached!,Point de sauvegarde !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POWER_UP_ZNUKE,Z-Nuke,Z-Nuke,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POWER_UP_ZNUKE_DESCRIPTION,The range of the Z-Nuke is increased by <range> meters,La portée du Z-Nuke est augmentée de <range> mètres,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POWER_UP_DOUBLE_JUMP,Double Jump,Double Saut,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POWER_UP_SLOW_TIME,Slow Time,Ralentisseur de Temps,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POWER_UP_SLOW_TIME_DESCRIPTION,The Slow Time powerup lasts <time> seconds longer,Le Ralentisseur de Temps dure <time> secondes de plus,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POWER_UP_MAGNET,Star Magnet,Aimant à Étoiles,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POWER_UP_MAGNET_DESCRIPTION,The Star Magnet powerup lasts <time> seconds longer,L'Aimant à Étoiles dure <time> secondes de plus,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POWER_UP_SHIELD,Shield,Bouclier,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POWER_UP_SHIELD_DESCRIPTION,The Shield powerup lasts <time> seconds longer,Le Bouclier dure <time> secondes de plus,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POWER_UP_HOW_TO,While running<comma> double-tap to activate selected power-up.,Pendant que tu cours<comma> tape deux fois sur l'écran pour activer le power-up sélectionné.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POWER_UP_YOU_HAVE,You have: <quantity>,Tu en as: <quantity>,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
POWER_UP_MAXIMUM_UPGRADE,Fully upgraded,Niveau maximum atteint,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
#Store items
STORE_ITEM_STARS_STACK,Stack of Stars,Stack of Coins,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
STORE_ITEM_STARS_PILE,Pile of Stars,Pile of Coins,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
STORE_ITEM_STARS_BAG,Bag of Stars,Bag of Coins,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
STORE_ITEM_STARS_CHEST,Chest of Stars,Chest of Coins,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
STORE_ITEM_STARS_VAULT,Vault of Stars,Vault of Coins,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
STORE_ITEM_STARS_DESCRIPTION,<quantity> Stars,<quantity> Étoiles,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
#Store items
STORE_ITEM_LIVES_BUNCH,Bunch of Lives,Bunch of Lives,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
STORE_ITEM_LIVES_HEAP,Heap of Lives,Heap of Lives,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
STORE_ITEM_LIVES_SACK,Sack of Lives,Sack of Lives,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
STORE_ITEM_LIVES_DESCRIPTION,<quantity> Lives,<quantity> Vies,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
#Store items
STAR_DOUBLER,Star Doubler,Doubleur d'Étoiles,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
STAR_DOUBLER_DESCRIPTION,Double all star pickups!,Double le montant d'étoiles ramassées !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
STAR_DOUBLER_OWNED,Owned,Acheté,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
RESTORE_PURCHASE,Restore purchases,Restore purchases,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
RESTORE_PURCHASE_BUTTON_LABEL,Restore,Rétablir,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
RESTORE_PURCHASE_DESCRIPTION,This will restore your in-app purchases<comma> such as the Star Doubler. Consumable purchases cannot be restored.,Ceci rétablira vos achats intégrés tel que le double-étoiles. Notez que les consommables ne seront pas rétablis.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
TAP_TO_CONTINUE,Tap to continue,Taper pour continuer,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_UPGRADE_TITLE,Upgrade,Améliorer,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_CONSUMABLE_TITLE,Stock up,S'approvisionner,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_STORE_TITLE,Store,Boutique,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_CONNECT,Connect!,Connecter !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_LOADING,Loading,Chargement,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_GUEST,No thanks,Non merci,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_PLAY,Play!,Jouer !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_SKIP,Skip,Retour,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_TAP_TO_PLAY,Tap to play,Touche l'écran pour jouer,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_BOOSTS,Boosts,Boosts,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_PAUSE,Pause,Pause,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_RESUME,Resume,Continuer,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_LOG_OUT,Log out!,Déconnexion !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_LOGGED_OUT,Disconnected,Déconnecté,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_SUCCESS_TITLE,Success!,Succès !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_SUCCESS_TEXT,Successfully connected to Facebook! All progress is now synchronized with your account.,Connexion à Facebook réussie ! Votre progrès est maintenant synchronisé avec votre compte.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_CONNECTING_TITLE,Connecting,Connexion,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_CONNECTING_TEXT,Connecting to Facebook.,Connexion à Facebook.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_NO_THANK_YOU,No thank you!,Non merci!,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_CONNECTION_FAILED_TITLE,Connection failed,Connexion échouée,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_CONNECTION_FAILED_TEXT,No Internet connection was found. Please try again later.,Incapable d'établir une connexion Internet. Veuillez essayer plus tard.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATEDMENU_NO_THANK_YOU,No thank you!,Non merci!,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_CONNECTION_CANCELED_TITLE,User Canceled,Action Annullée,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_CONNECTION_CANCELED_TEXT,Facebook access canceled by user.,Connexion à Facebook annulée par l'usager.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATEDMENU_NO_THANK_YOU,No thank you!,Non merci!,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_FB_ERROR_TITLE,Facebook error,Erreur Facebook,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_FB_ERROR_TEXT,An error occurred while trying to connect to Facebook. Try again later.,Une erreur est survenue lors de la connexion à Facebook. Veuillez essayer plus tard.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATEDMENU_NO_THANK_YOU,No thank you!,Non merci!,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_OK,Ok,Ok,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_ON,On,Oui,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_OFF,Off,Non,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_PRIVACY_POLICY,Privacy Policy,Politique de confidentialité,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_GLOBAL_LEADERBOARD,Global Leaderboard,Classement général,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_RESTORE_PURCHASES,Restore Purchases,Rétablir les achats,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_FB_EXPLAIN,Play with your friends and receive free gifts!,Jouez avec vos amis et recevez des cadeaux !,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_WELCOME,Welcome,Bienvenue,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_TRY_AGAIN,Try Again,Essaie Encore,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_HOME,Home,Menu Principal,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_MORE_GAMES,More Games,Plus de jeux,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_DIFFICULTY_LEVEL_NORMAL,Normal,Normale,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_DIFFICULTY_LEVEL_HEROIC,Heroic,Héroïque,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_DIFFICULTY_LEVEL_LEGENDARY,Legendary,Légendaire,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_CHANGE,Change,Change,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_SELECT,Select,Choisir,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_PICK_ME_FEMALE,You're not going to let the world be saved by a guy? Come on! Girls are way better at this kind of thing.,Tu ne vas quand même pas laisser un gars sauver le monde? Cela prends un fille pour ce genre de chose.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_PICK_ME_MALE,You're not going to let the world be saved by a girl? Come on! Guys are way better at this kind of thing.,Tu ne vas quand même pas laisser une fille sauver le monde? Cela prends un gars pour ce genre de chose.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
MENU_CHARACTER_SELECTION_TITLE,Choose Your Hero,Choisis ton Héros,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GALLERY_TITLE,Denizens of Lum,Personages de Lum,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GALLERY_NAME_FAIRY,Lily,Lily,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GALLERY_BIO_FAIRY,<color=#ffa500ff>Gender:</color> Female\n<color=#ffa500ff>Race:</color> Fairy\n<color=#ffa500ff>Age:</color> 18\n<color=#ffa500ff>Date of birth:</color> March 19th\n<color=#ffa500ff>Place of Birth:</color> Forest of Elvenhorn\n<color=#ffa500ff>Favorite things:</color> Violet flowers\n<color=#ffa500ff>Fun Fact:</color> Lily might be small<comma> but she can pack a punch with her spells. She also makes the best oatmeal cookies this side of the WillowBrook River.,<color=#ffa500ff>Gender:</color> Female\n<color=#ffa500ff>Race:</color> Fairy\n<color=#ffa500ff>Age:</color> 142\n<color=#ffa500ff>Date of birth:</color> August 1st\n<color=#ffa500ff>Place of Birth:</color> Forest of Elvenhorn\n<color=#ffa500ff>Favorite things:</color> Violet flowers\n<color=#ffa500ff>Fun Fact:</color> Lily almost did not graduate from fairy school because she kept forgetting her spells.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GALLERY_NAME_DARK_QUEEN,Lorelei,Lorelei,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GALLERY_BIO_DARK_QUEEN,<color=#ffa500ff>Gender:</color> Female\n<color=#ffa500ff>Race:</color> Human\n<color=#ffa500ff>Age:</color> 167\n<color=#ffa500ff>Date of birth:</color> December 9th\n<color=#ffa500ff>Place of Birth:</color> High Peak Castle\n<color=#ffa500ff>Favorite things:</color> Skulls of her crushed enemies and the little biscuits they serve during high tea\n<color=#ffa500ff>Fun Fact:</color> Lorelei<comma> aka The Dark Queen<comma> is the source of all evil. You miss your carriage and end up late for work? Her fault. You drop your toast and it lands peanut butter side? Her fault again. Her appetite for power is all consuming. She will not stop until all creatures big and small bow to her malificence.,<color=#ffa500ff>Gender:</color> Female\n<color=#ffa500ff>Race:</color> Human\n<color=#ffa500ff>Age:</color> 167\n<color=#ffa500ff>Date of birth:</color> December 9th\n<color=#ffa500ff>Place of Birth:</color> High Peak Castle\n<color=#ffa500ff>Favorite things:</color> Crows and skulls\n<color=#ffa500ff>Fun Fact:</color> Lorelei<comma> aka The Dark Queen<comma> is the source of all evil. You miss your carriage and end up late for work? Her fault. You drop your toast and it lands peanut butter side? Her fault again. Her appetite for power is all consuming. She will not stop until all creatures big and small bow to her malificence.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GALLERY_NAME_TROLL,Krock,Krock,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GALLERY_BIO_TROLL,<color=#ffa500ff>Gender:</color> Male\n<color=#ffa500ff>Race:</color> Troll\n<color=#ffa500ff>Age:</color> 29\n<color=#ffa500ff>Date of birth:</color> November 12th\n<color=#ffa500ff>Place of Birth:</color> Western Swamps\n<color=#ffa500ff>Favorite things:</color> Squirrels and books\n<color=#ffa500ff>Fun Fact:</color> Krock was bullied as a little troll because<comma> unlike his companions<comma> he read books in the bog behind his home. He's the only troll in the Kingdom of Lum who knows how to read. Strangely<comma> since he bought his spiked club at the little weapon's shop at Finnegan's market<comma> no one bothers him anymore.,<color=#ffa500ff>Gender:</color> Male\n<color=#ffa500ff>Race:</color> Troll\n<color=#ffa500ff>Age:</color> 29\n<color=#ffa500ff>Date of birth:</color> November 12th\n<color=#ffa500ff>Place of Birth:</color> Western Swamps\n<color=#ffa500ff>Favorite things:</color> Squirrels and books\n<color=#ffa500ff>Fun Fact:</color> Krock was bullied as a little troll because<comma> unlike his companions<comma> he read books in the bog behind his home. He's the only troll in the Kingdom of Lum who knows how to read. Strangely<comma> since he bought his spiked club at the little weapon's shop at Finnegan's market<comma> no one has commented on his book reading.,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
GALLERY_NAME_HERO,Hero,Hero,NOT TRANSLATED,NOT TRANSLATED,NOT TRANSLATED
